Record Id,Account Owner.id,Account Owner,Rating,entity_name,Phone,Account Site,Parent Account.id,Parent Account,Website,Ticker Symbol,Industry,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,address,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,postal_code,Shipping Code,Billing Country,Shipping Country,Description,Last Activity Time,Tag,Source,Product Prospect USP,Brands 1 To G,Brands R To Z,Brands H To Q,All Brands,Company Name,Other Brands,GST Number,Company Registered Number,Bank Account Number,Bank Name,SWIFT Code,Last Closed Won Date,Last Closed Lost Date,No. of Closed Won Deals,Change Log Time,Locked,Last Enriched Time,Enrich Status,Country,Category,Business type,Other Category (Pls Specify),Connected To.module,Connected To.id
zcrm_3877682000000246036,zcrm_3877682000000229022,Caroline Thian,,Smart Alley,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/15/2019 10:52,2/5/2020 14:10,,,,,,,,,,,,6/25/2020 11:56,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000246050,zcrm_3877682000000229022,Caroline Thian,,Go Go Bambini,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/15/2019 11:00,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000271003,zcrm_3877682000000229022,Caroline Thian,,Komoco Motors,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/18/2019 14:22,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000271026,zcrm_3877682000000229022,Caroline Thian,,Mummys Market,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000022068001,Max Teh,3/18/2019 14:24,11/16/2022 11:57,"2 Sims Cl, #05-01 Gemini @ Sims, Singapore",,,,,,,,,,,11/16/2022 14:28,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000271043,zcrm_3877682000000229022,Caroline Thian,,Micro scooters,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/18/2019 14:52,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000321018,zcrm_3877682000000229022,Caroline Thian,,Play Facto,,,,,,,Others,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/25/2019 10:31,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000321054,zcrm_3877682000000229022,Caroline Thian,,Shiok! Kitchen Catering,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/25/2019 10:38,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000321068,zcrm_3877682000000229022,Caroline Thian,,LittleBigShots,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/25/2019 10:40,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000331026,zcrm_3877682000000323001,Lu Yi Lim,,Naoki Trading,6590929206,,,,,,Baby Industry,zcrm_3877682000000323001,Lu Yi Lim,zcrm_3877682000000200011,Conan Ng,3/25/2019 15:18,2/5/2020 14:10,224C Sumang Lane #02-109,,Singapore,,Singapore,,823224,,Singapore,,,2/5/2020 14:10,,,,,,,,Naoki Trading,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000338001,zcrm_3877682000000229022,Caroline Thian,,Ergoworks (Impact Lifestyle),,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/26/2019 12:10,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000338024,zcrm_3877682000000229022,Caroline Thian,,Yunomori Onsen & Spa,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/26/2019 15:59,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000338050,zcrm_3877682000000229022,Caroline Thian,,Natures' Farm,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/26/2019 16:10,2/5/2020 14:10,,,,,,,,,,,,2/5/2020 14:10,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000338075,zcrm_3877682000000229022,Caroline Thian,,Bio Vectrol Singapore,,,,,,,,zcrm_3877682000000229022,Caroline Thian,zcrm_3877682000000200011,Conan Ng,3/26/2019 18:07,3/24/2020 14:26,,,,,,,,,,,,3/24/2020 14:27,,,,,,,,Bio Vectrol Singapore,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437067,zcrm_3877682000000308019,Mace Goh,,1010 Mother & Child Essentials,6565091519,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000951001,William Chin,4/16/2019 17:28,5/26/2021 15:54,180 Kitchener Road #B2-45,,Singapore,,Singapore,,208539,,Singapore,,,5/26/2021 15:54,,,,,Radicam,,Radicam,1010 Mother & Child Essentials Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437068,zcrm_3877682000000323001,Lu Yi Lim,,13Thirteen,6598754754,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,433B Sengkang West Way #18-531,,Singapore,,Singapore,,792433,,Singapore,,,2/5/2020 14:10,,,,,,,,13Thirteen Private Limited,,,,,,,,,,,FALSE,,,,,,,,
zcrm_3877682000000437071,zcrm_3877682000000323001,Lu Yi Lim,,3Kings,6598480854,,,,,,Baby Industry,zcrm_3877682000000200011,Conan Ng,zcrm_3877682000000200011,Conan Ng,4/16/2019 17:28,2/5/2020 14:10,105 Eunos Ave 3 Hafary Centre #06 (Beside Cargo Lift),,Singapore,,Singapore,,409836,,Singapore,,,2/5/2020 14:10,,,,,,,,3Kings Pte Ltd,,,,,,,,,,,FALSE,,,,,,,,
